Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.51     0.00      680     0.00     0.00  std::iterator<std::input_iterator_tag, std::string, long, std::string const*, std::string const&>::iterator()
  0.00      3.51     0.00      675     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.00      3.51     0.00      659     0.00     0.00  MatrixB::MatrixB(unsigned long, unsigned long)
  0.00      3.51     0.00      657     0.00     0.00  MatrixB::MatrixB(MatrixB&&)
  0.00      3.51     0.00      642     0.00     0.00  MatrixB::transpose()
  0.00      3.51     0.00      642     0.00     0.00  void std::swap<MatrixB>(MatrixB&, MatrixB&)
  0.00      3.51     0.00      561     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::__normal_iterator(char* const&)
  0.00      3.51     0.00      535     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.00      3.51     0.00      516     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00      3.51     0.00      510     0.00     0.00  std::istream_iterator<std::string, char, std::char_traits<char>, long>::istream_iterator(std::istream_iterator<std::string, char, std::char_traits<char>, long> const&)
  0.00      3.51     0.00      509     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::base() const
  0.00      3.51     0.00      479     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00      3.51     0.00      465     0.00     0.00  MatrixB::MatrixB(MatrixB const&)
  0.00      3.51     0.00      450     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator() const
  0.00      3.51     0.00      450     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::max_size() const
  0.00      3.51     0.00      450     0.00     0.00  std::move_iterator<std::string*>::move_iterator(std::string*)
  0.00      3.51     0.00      450     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<std::string> >::__maxsize_helper<std::allocator<std::string> const>::value, unsigned long>::type std::allocator_traits<std::allocator<std::string> >::_S_max_size<std::allocator<std::string> const>(std::allocator<std::string> const&)
  0.00      3.51     0.00      450     0.00     0.00  std::allocator_traits<std::allocator<std::string> >::max_size(std::allocator<std::string> const&)
  0.00      3.51     0.00      450     0.00     0.00  std::move_iterator<std::string*> std::__make_move_if_noexcept_iterator<std::string*, std::move_iterator<std::string*> >(std::string*)
  0.00      3.51     0.00      445     0.00     0.00  bool std::operator==<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  0.00      3.51     0.00      445     0.00     0.00  bool std::operator!=<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  0.00      3.51     0.00      378     0.00     0.00  void std::swap<unsigned char*>(unsigned char*&, unsigned char*&)
  0.00      3.51     0.00      344     0.00     0.00  bool __gnu_cxx::operator!=<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00      3.51     0.00      344     0.00     0.00  std::istream_iterator<std::string, char, std::char_traits<char>, long>::_M_equal(std::istream_iterator<std::string, char, std::char_traits<char>, long> const&) const
  0.00      3.51     0.00      344     0.00     0.00  std::istream_iterator<std::string, char, std::char_traits<char>, long>::_M_read()
  0.00      3.51     0.00      344     0.00     0.00  bool std::operator!=<std::string, char, std::char_traits<char>, long>(std::istream_iterator<std::string, char, std::char_traits<char>, long> const&, std::istream_iterator<std::string, char, std::char_traits<char>, long> const&)
  0.00      3.51     0.00      341     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      3.51     0.00      337     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >* std::__addressof<std::vector<unsigned char, std::allocator<unsigned char> > >(std::vector<unsigned char, std::allocator<unsigned char> >&)
  0.00      3.51     0.00      310     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::string*>(std::string*, std::string*)
  0.00      3.51     0.00      310     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_deallocate(std::string*, unsigned long)
  0.00      3.51     0.00      310     0.00     0.00  void std::_Destroy<std::string*>(std::string*, std::string*)
  0.00      3.51     0.00      310     0.00     0.00  void std::_Destroy<std::string*, std::string>(std::string*, std::string*, std::allocator<std::string>&)
  0.00      3.51     0.00      301     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      3.51     0.00      301     0.00     0.00  void std::_Destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      3.51     0.00      301     0.00     0.00  void std::_Destroy<unsigned char*, unsigned char>(unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      3.51     0.00      297     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::~new_allocator()
  0.00      3.51     0.00      297     0.00     0.00  std::allocator<unsigned char>::~allocator()
  0.00      3.51     0.00      296     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.00      3.51     0.00      296     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00      3.51     0.00      280     0.00     0.00  std::move_iterator<std::vector<unsigned char, std::allocator<unsigned char> >*>::base() const
  0.00      3.51     0.00      269     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> > const& std::forward<std::vector<unsigned char, std::allocator<unsigned char> > const&>(std::remove_reference<std::vector<unsigned char, std::allocator<unsigned char> > const&>::type&)
  0.00      3.51     0.00      259     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISsE9constructISsIRKSsEEEvPT_DpOT0_
  0.00      3.51     0.00      259     0.00     0.00  void __gnu_cxx::new_allocator<unsigned char>::construct<unsigned char, unsigned char>(unsigned char*, unsigned char&&)
  0.00      3.51     0.00      259     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator++()
  0.00      3.51     0.00      259     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
